No.,Description,Category,Energy (Kcal),Carbohydrate(g),Protein(g),Total Lipid(g),Monounsaturated Fatty Acids(g),Polyunsaturated Fatty Acids(g),Saturated Fatty Acids(g)
28138,"KEEBLER,TOWN HOUSE,BISTRO MULTIGRAIN CRACKERS",KEEBLER,460,67.0,7.3,19.5,6.6,3.5,4.3
28149,"KEEBLER,TOWN HOUSE,FLATBREAD CRISPS,SEA SALT & OLIVE OIL CRA",KEEBLER,443,72.8,8.0,14.0,3.1,7.2,2.1
28139,"KEEBLER,TOWN HOUSE,FLIPSIDES,PRETZEL CRACKERS,CHS",KEEBLER,476,61.3,8.0,22.5,5.0,11.9,4.0
28140,"KEEBLER,TOWN HOUSE,FLIPSIDES,PRETZEL CRACKERS,GARLIC HERB",KEEBLER,486,63.0,6.5,23.6,5.6,13.3,4.1
28141,"KEEBLER,TOWN HOUSE,FLIPSIDES,PRETZEL CRACKERS,ORIGINAL",KEEBLER,487,64.3,6.6,23.1,5.6,13.2,3.8
28144,"KEEBLER,TOWN HOUSE,FLIPSIDES,PRETZEL CRACKERS,RED FAT",KEEBLER,450,70.4,7.2,16.0,3.8,9.1,2.6
28142,"KEEBLER,TOWN HOUSE,ORIGINAL CRACKERS",KEEBLER,526,59.8,5.1,29.6,7.9,16.6,4.8
28143,"KEEBLER,TOWN HOUSE,RED FAT CRACKERS",KEEBLER,431,77.1,6.6,11.3,2.6,6.5,2.0
28145,"KEEBLER,TOWN HOUSE,TOPPERS,GARLIC HERB CRACKERS",KEEBLER,483,71.6,6.4,19.0,5.4,10.5,3.0
28146,"KEEBLER,TOWN HOUSE,TOPPERS,MULTIGRAIN CRACKERS",KEEBLER,462,68.4,7.6,18.5,4.5,10.6,3.0
28147,"KEEBLER,TOWN HOUSE,TOPPERS,ORIGINAL CRACKERS",KEEBLER,483,66.8,7.6,20.5,5.7,11.8,2.9
28148,"KEEBLER,TOWN HOUSE,WHEAT CRACKERS",KEEBLER,489,63.2,6.3,24.4,6.0,14.1,4.0
28150,"KEEBLER,TRADITIONS,ICED LEMONADE COOKIES",KEEBLER,502,66.3,4.5,24.4,5.5,9.0,8.0
28151,"KEEBLER,TRADITIONS,ICED OATMEAL COOKIES",KEEBLER,463,71.0,5.4,18.0,4.2,6.7,5.8
28132,"KEEBLER,TSTD COCNT COOKIES",KEEBLER,475,69.9,3.8,20.2,5.2,1.1,10.3
18609,"KEEBLER,VANILLA WAFERS",KEEBLER,462,73.1,4.0,17.4,3.9,6.6,5.7
28152,"KEEBLER,VANILLA WAFERS MINIS,RAINBOW",KEEBLER,466,72.3,4.0,18.3,4.1,6.8,6.0
28153,"KEEBLER,VIENNA FINGERS W/ CREME FILLING",KEEBLER,492,73.2,4.5,20.1,3.7,9.3,6.7
28154,"KEEBLER,VIENNA FINGERS W/ CREME FILLING,RED FAT",KEEBLER,465,78.1,4.5,15.0,2.7,7.1,4.9
28155,"KEEBLER,WAFFLE BOWLS",KEEBLER,424,87.7,6.5,5.3,1.86,1.35,0.86
28156,"KEEBLER,WAFFLE CONES",KEEBLER,424,87.7,6.5,5.3,1.86,1.35,0.86
28157,"KEEBLER,WHEATABLES,HONEY WHEAT CRACKERS",KEEBLER,482,67.0,7.6,20.4,6.5,7.9,4.7
28158,"KEEBLER,WHEATABLES,NUT CRISP CRACKERS,RSTD ALMOND",KEEBLER,472,66.5,8.4,20.4,6.1,10.6,3.1
28159,"KEEBLER,WHEATABLES,NUT CRISP CRACKERS,TSTD PECAN",KEEBLER,483,65.7,7.6,22.0,6.6,11.2,3.6
28255,"KEEBLER,ZESTA,EXPORT SODAS CRACKERS",KEEBLER,414,74.0,5.6,11.5,3.6,1.07,2.33
28284,"KEEBLER,ZESTA,SALTINES W/ WHL WHEAT",KEEBLER,416,75.1,8.4,9.6,2.4,5.8,1.4
28283,"KEEBLER,ZESTA,SALTINES,ORIGINAL",KEEBLER,418,76.1,8.2,9.0,2.2,5.5,1.3
1289,"KEFIR,LOWFAT,PLN,LIFEWAY",KEFIR,41,4.48,3.79,0.93,0.31,0.053,0.658
1290,"KEFIR,LOWFAT,STRAWBERRY,LIFEWAY",KEFIR,62,10.2,3.39,0.9,0.262,0.041,0.533
18507,KELLOGG'S EGGO LOWFAT BLUEBERRY NUTRI-GRAIN WAFFLES,KELLOGG'S EGGO LOWFAT BLUEBERRY NUTRI-GRAIN WAFFLES,208,42.71,5.95,2.83,1.15,0.8,0.41
28160,"KELLOGG'S,ALL-BRAN,GARLIC & HERB CRACKERS",KELLOGG'S,467,63.5,8.6,19.9,5.2,11.5,3.2
28161,"KELLOGG'S,ALL-BRAN,MULTIGRAIN CRACKERS",KELLOGG'S,415,65.7,8.6,20.0,4.8,11.3,3.2
18992,"KELLOGG'S,BEANATURAL,ORIGINAL 3-BEAN CHIPS",KELLOGG'S,487,46.5,22.9,25.3,19.5,2.6,2.0
28005,"KELLOGG'S,CINNABON,PANCAKES,CARAMEL",KELLOGG'S,255,43.4,5.0,7.1,1.6,3.6,1.2
28006,"KELLOGG'S,CINNABON,PANCAKES,ORIGINAL",KELLOGG'S,258,43.1,5.0,7.7,1.7,3.6,1.6
28162,"KELLOGG'S,CORN FLAKES CRUMBS",KELLOGG'S,367,84.4,7.5,0.4,0.1,0.2,0.1
28259,"KELLOGG'S,EGGO MINIS,PANCAKES,BTTRMLK",KELLOGG'S,251,39.6,5.5,8.2,1.9,4.4,1.3
28016,"KELLOGG'S,EGGO PROT,WAFFLES,HOMESTYLE",KELLOGG'S,281,37.0,10.8,10.2,2.6,4.2,2.5
28022,"KELLOGG'S,EGGO SEASONS,WAFFLES,PUMPKIN SPICE",KELLOGG'S,296,41.4,5.5,12.2,3.1,5.2,3.1
18995,"KELLOGG'S,EGGO,BISCUIT SCRAMBLERS,BACON,EGG & CHS",KELLOGG'S,258,38.3,8.8,7.9,1.5,1.1,4.1
18996,"KELLOGG'S,EGGO,BISCUIT SCRAMBLERS,EGG & CHS",KELLOGG'S,254,38.3,8.8,7.6,1.5,1.1,4.0
28012,"KELLOGG'S,EGGO,FIBERPLUS WAFFLES,BTTRMLK",KELLOGG'S,227,41.8,4.7,7.9,2.0,3.2,2.1
28013,"KELLOGG'S,EGGO,FIBERPLUS WAFFLES,CHOC CHIP",KELLOGG'S,259,44.4,4.3,10.5,2.8,3.7,3.3
18997,"KELLOGG'S,EGGO,FRENCH TOASTER STKS,CINN",KELLOGG'S,250,42.6,4.8,6.9,1.8,2.7,1.9
18998,"KELLOGG'S,EGGO,FRENCH TOASTER STKS,ORIGINAL",KELLOGG'S,239,39.4,5.3,7.0,1.8,2.9,1.7
18999,"KELLOGG'S,EGGO,MINI MUFFIN TOPS,BLUEBERRY",KELLOGG'S,293,45.8,5.0,10.2,2.5,4.0,2.8
28000,"KELLOGG'S,EGGO,MINI MUFFIN TOPS,CHOC CHIP",KELLOGG'S,300,45.0,5.2,11.2,2.9,4.0,3.5
28001,"KELLOGG'S,EGGO,NUTRI-GRAIN FRZ FRUIT PIZZA,MXD BERRY GRANOLA",KELLOGG'S,259,41.4,6.4,8.4,1.6,1.9,3.8
28002,"KELLOGG'S,EGGO,NUTRI-GRAIN FRZ FRUIT PIZZA,STRAWBERRY GRANOL",KELLOGG'S,266,43.7,6.5,8.1,1.6,1.9,3.7
28018,"KELLOGG'S,EGGO,NUTRI-GRAIN,WAFFLES,BLUEBERRY",KELLOGG'S,257,43.6,6.2,7.8,1.9,3.3,1.8
28019,"KELLOGG'S,EGGO,NUTRI-GRAIN,WAFFLES,HONEY OAT",KELLOGG'S,268,44.1,6.6,8.6,2.2,3.7,2.0
